Fecha;Residuos
1995;505
1996;530
1997;554
1998;557
1999;606
2000;653
2001;652
2002;637
2003;646
2004;600
2005;588
2006;590
2007;578
2008;551
2009;542
2010;510
2011;485
2012;468
2013;454
2014;448
2015;456
2016;463
2017;473
2018;475
2019;472
2020;449
2021;467
2022;467
