EspanaT
352
382
442
415
421
456
448
311
469
485
512
450
537
590
623
507
606
614
596
451
595
630
667
583
695
653
715
604
727
661
654
494
728
711
694
516
649
674
672
758
703
698
756
514
686
775
698
599
771
845
848
766
783
721
774
516
750
807
695
640
732
782
872
776
765
786
824
597
831
828
857
758
800
827
928
926
885
899
866
682
938
857
913
839
931
975
1031
930
1009
1047
1009
788
1002
1034
1000
825
1079
1034
1894
999
1162
1239
1183
894
1057
1250
1161
916
1338
1294
1227
1417
1181
1195
1352
884
1225
1298
1240
957
1085
1156
1107
1082
1114
1130
1234
858
1142
1226
1107
1009
1205
1229
1471
1269
1399
1513
1417
1078
1434
1285
1408
1357
1415
1399
1651
1378
1399
1486
1428
1015
1484
1558
1299
1226
1773
1342
1731
1386
1565
1517
1377
1180
1441
1525
1430
1258
1512
1490
1565
1546
1551
1630
1531
1173
1446
1588
1370
1156
1522
1381
1632
1481
1444
1519
1598
1125
1471
1597
1374
1350
1450
1475
1632
1592
1550
1717
1679
1120
1664
1598
1462
1436
1537
1603
1738
1622
1554
1678
1618
1266
1645
1538
1620
1444
1698
1675
1962
1559
1848
1853
1676
1368
1781
1834
1702
1553
1820
1693
1867
1909
1866
1931
1844
1486
1845
1858
1770
1555
1869
1766
2013
1848
1987
1862
1992
1400
1909
2000
1773
1545
1810
1766
2124
1596
1606
1869
1885
1362
1925
1871
1862
1654
