EspanaT
4633,0
5169,3
5974,2
5196,7
5442,7
5814,5
5211,7
3301,2
5596,6
5834,3
6163,8
5718,0
5907,5
6746,8
7462,5
6247,7
7414,1
7236,7
6556,5
4530,5
6948,0
7399,0
7988,2
6566,1
7483,1
7414,7
8266,4
6906,7
7923,6
7535,2
6804,6
4883,5
6739,2
7647,0
7555,4
6138,1
7149,5
7377,3
7411,5
7861,4
7772,7
7110,0
7307,0
4683,1
7226,5
8342,4
7950,6
6486,5
7570,4
7693,2
8308,9
7997,4
8143,0
7677,4
7633,7
4838,5
7814,1
8668,5
7835,0
6995,7
7515,1
7943,6
8889,4
8051,9
8508,1
8624,3
8020,0
5320,3
8338,8
8296,6
9078,2
7513,3
7759,7
8282,2
8880,4
8908,1
8635,1
8774,8
7740,8
5693,6
8896,4
8422,9
9232,6
7998,2
8531,3
8769,1
10079,8
8358,9
9824,0
9673,6
8526,0
6408,0
9312,7
9982,7
9947,9
8387,8
9490,2
9717,0
11514,6
9093,7
10594,8
10212,5
9867,4
7093,0
9602,6
10954,3
10478,1
8179,9
10562,9
11228,1
10470,5
11400,6
10913,2
10054,8
10968,3
6759,1
10558,4
10330,7
9254,4
7359,4
7756,3
8198,5
9258,4
8923,8
8406,0
8884,1
9023,3
6161,4
9393,4
9680,9
9394,9
8570,3
8423,7
9305,9
10941,1
9245,6
10014,5
11098,1
9701,3
7202,9
10886,7
10962,2
11346,1
10807,6
10555,9
10968,0
13045,6
10742,2
11485,9
12195,6
10736,0
7884,9
11781,7
11009,9
11423,6
10530,6
10948,9
11031,7
12651,2
10408,0
11560,3
11540,2
11232,1
8188,9
10828,5
11485,0
11610,9
10268,6
10966,8
10889,1
11836,5
11335,0
11670,1
11789,6
11306,3
8659,1
11373,2
12253,0
11324,0
10698,4
11442,8
11170,1
12329,6
11096,2
11721,0
12162,0
12540,3
8436,8
12492,3
12467,2
11903,0
11079,5
11144,5
11776,2
13711,2
11788,3
12327,8
13575,4
13216,3
8581,7
13299,8
13008,5
12688,0
11848,8
11437,7
12452,1
13640,4
13174,8
12949,9
14202,5
12694,5
9710,3
13731,5
12877,6
14481,8
13039,2
13701,0
13429,4
16392,4
12612,8
15042,9
15489,0
12835,2
10511,6
14698,5
14580,0
15335,2
13553,2
14477,2
13648,4
16229,7
14656,1
15622,1
15851,3
14204,2
11378,7
14586,6
15848,1
15487,7
13625,9
14476,2
14283,8
16585,3
14958,5
16240,6
15585,1
15199,8
10707,6
14896,3
16145,9
15177,1
14112,8
14906,7
14765,2
14007,8
8797,6
11123,1
14795,4
14810,7
10421,2
15604,3
15747,4
15541,0
14619,8
13785,9
14753,4
18680,1
16556,3
16484,9
17815,8
16774,3
13008,3
18118,3
17060,9
18534,7
17992,6
17837,2
19011,3
22396,5
19733,4
21744,8
21955,3
19826,0
16933,9
23618,0
20965,4
24884,8
21169,0
21022,2
21657,8
25873,7
18527,3
21777,1
22837,7
18649,5
15696,7
20405,2
20186,6
22282,0
18735,1
