Transporte_urbano
216721
213787
221582
204038
220739
201742
184124
122716
187160
239493
220994
212588
213814
205525
204122
225237
214713
206539
188324
123995
191222
242655
222967
220724
212487
208099
229959
204947
219822
214154
192035
128324
195988
232530
222432
218865
209048
210266
233543
218287
231147
218918
193830
135804
202488
230454
233609
222210
217406
224995
249071
207867
238514
228433
196590
144571
207161
243241
242177
229307
234983
222555
251494
212260
243094
231296
204576
144928
206129
252674
237076
221361
229897
221193
221149
243355
240007
221209
213590
147207
213424
263708
240541
226813
234411
226331
247990
230684
247768
233378
218215
150535
219282
265702
245256
236913
236854
234627
258549
229442
253868
243664
219726
156686
230520
252700
253562
238012
244454
241730
252337
264093
267973
261578
220452
180962
240814
264887
263077
247310
252603
245620
277537
238854
274418
263761
232798
183357
243711
274666
268594
247437
261191
251201
284608
245426
278764
265700
242976
186041
240609
284545
269952
246775
268603
262025
245240
274044
263760
256886
246505
180374
241924
280608
259469
248605
246607
243560
266232
242420
257860
254236
239824
173839
237527
265889
255611
244222
236736
240873
269749
251357
266208
249148
229406
172373
236786
259865
258224
244374
242895
243249
275751
242144
270080
252431
223835
180555
240103
260489
256859
243646
246196
244951
261889
229951
257222
241888
216485
164470
217528
254564
232941
219940
232947
223314
227336
246087
246600
228219
214517
156753
218202
259509
236479
225137
230063
224665
246402
228667
244580
226309
216573
156424
225012
262494
234979
232853
225998
223850
246514
235295
246394
235166
219547
164598
230107
258786
248604
238060
226843
235329
240190
252824
254751
243669
217236
175452
243034
259442
254386
240618
239894
241457
275373
234914
268154
253678
226857
180978
242257
268569
263278
237972
252364
244499
258125
261477
271553
257957
234583
182986
245138
284390
269992
250940
261494
255689
278258
254938
278675
259186
243190
184739
255762
298456
275451
256168
265570
270169
126030
22208
47803
106783
135105
107325
144277
158651
147808
150765
127773
140165
168915
160621
175875
182173
166715
133654
193986
215795
219545
196523
180353
200281
238090
212692
237013
224514
196658
164160
235712
257524
255886
236244
243630
248017
289671
254997
284244
273140
244108
202819
275750
304869
297337
272552
