Fecha;Defunciones
2013M03;2541
2013M04;2253
2013M05;2219
2013M06;2118
2013M07;2247
2013M08;2127
2013M09;1978
2013M10;2196
2013M11;2426
2013M12;2652
2014M01;2780
2014M02;2392
2014M03;2450
2014M04;2147
2014M05;2249
2014M06;2145
2014M07;2101
2014M08;2064
2014M09;2082
2014M10;2285
2014M11;2323
2014M12;2561
2015M01;3146
2015M02;2872
2015M03;2599
2015M04;2229
2015M05;2204
2015M06;2203
2015M07;2337
2015M08;1961
2015M09;1915
2015M10;2206
2015M11;2264
2015M12;2498
2016M01;2473
2016M02;2369
2016M03;2508
2016M04;2301
2016M05;2218
2016M06;2110
2016M07;2075
2016M08;2023
2016M09;2093
2016M10;2133
2016M11;2245
2016M12;2574
2017M01;2972
2017M02;2310
2017M03;2330
2017M04;2125
2017M05;2163
2017M06;1984
2017M07;2057
2017M08;2056
2017M09;1962
2017M10;2132
2017M11;2259
2017M12;2587
2018M01;2821
2018M02;2456
2018M03;2529
2018M04;2185
2018M05;2041
2018M06;1976
2018M07;2035
2018M08;1927
2018M09;1844
2018M10;2036
2018M11;2222
2018M12;2348
2019M01;26362019M02;22062019M03;22712019M04;21462019M05;21522019M06;18732019M07;21182019M08;19042019M09;18922019M10;20662019M11;21882019M12;22602020M01;25962020M02;21432020M03;24622020M04;22912020M05;19402020M06;18742020M07;19932020M08;20762020M09;19422020M10;21352020M11;20192020M12;2346
2021M01;2499
2021M02;1974
2021M03;2147
2021M04;2009
2021M05;1982
2021M06;1841
2021M07;1991
2021M08;2041
2021M09;1851
2021M10;1993
2021M11;2179
2021M12;2351
2022M01;2345
2022M02;2004
2022M03;2190
2022M04;2043
2022M05;2055
2022M06;1961
2022M07;2216
2022M08;1963
2022M09;1802
2022M10;1912
2022M11;1919
2022M12;2278
2023M01;2264
2023M02;2132
2023M03;2220
2023M04;1897
2023M05;1786
2023M06;1828
2023M07;1774
2023M08;1830
2023M09;1669
2023M10;1796
2023M11;1915
2023M12;2062
