dinero
27440
29310
10
26740
15300
25460
37850
45830
34200
2250
6250
21380
24310
26610
42310
26180
2860
30800
32360
35330
2870
7240
19610
2880
16450
18050
15030
16300
22350
22920
4560
20920
13970
15290
18840
18130
20070
3140
15960
16780
14060
15250
21780
23050
2800
21990
21270
30100
21610
27910
22190
2650
21440
19350
16110
19260
24530
18140
3340
15930
18070
15030
15520
21170
20200
2470
14770
14170
12290
16250
19020
18630
1570
19230
24440
32590
10
25140
22870
2450
16830
20270
16410
10
17620
19290
2910
20490
20630
20940
20910
6270
13970
2250
14100
15060
10840
14750
22730
20840
1860
12550
15860
16000
17980
30840
20780
3790
33300
21870
18400
19170
21740
18400
2900
26420
24700
27750
10610
1300
11480
1590
1190
17120
14800
17890
24930
16230
1570
3040
17210
15660
15350
35230
27320
3480
2820
35200
25070
22800
28430
23000
3200
20030
19130
19910
18110
22450
21410
4380
18790
15380
14670
19310
24740
17330
1800
17780
16020
16730
13160
22720
17470
1640
16130
16010
26600
29120
27540
8110
280
20760
15790
15020
13110
19990
7010
170
19600
16790
15090
14810
25370
17010
1270
20570
15010
16440
14070
22300
15780
1490
18790
13740
21280
25530
34640
22680
1970
37450
15360
20910
20730
26910
15800
1970
20570
18700
18110
19570
25900
13940
2570
18730
17090
14500
17570
19890
15000
1680
14320
10890
15190
18870
27590
14330
3080
25570
26820
12590
15060
18980
12460
1680
12260
11750
11920
12060
16230
10140
1400
10570
1240
11030
10240
13740
9480
880
12370
10830
9660
9590
10790
9960
1030
11940
11620
14390
21760
27710
16410
3170
23120
20810
17980
19100
16770
16440
2220
15530
17610
18460
16700
21770
18740
1380
17880
17190
15520
19060
20030
14590
3230
14100
17140
15720
19950
30310
23850
4060
35060
25760
17070
22080
29290
22820
2330
1670
24110
24560
2310
24520
15230
2310
19650
16700
14030
20270
23080
19380
2850
16790
13620
15810
19620
21400
19240
3010
23010
26390
2370
34380
34780
22270
3030
26040
24450
17850
17590
26190
17160
2900
18680
17600
16330
20860
24590
17100
2580
15780
15320
11830
14910
22800
20660
2840
15600
16160
19110
26520
45890
27510
2520
33560
31760
2610
29940
2850
19020
1490
21850
25100
24750
21890
27820
22020
10
25460
28970
25680
35900
52040
45230
14850
3690
17030
22570
21400
37900
30390
6380
2330
31080
30440
38220
44610
5380
2010
21920
17130
20210
14970
26920
20540
910
18760
20180
15660
20150
24980
18650
2580
1570
18140
14270
16030
22810
18100
2160
22180
25420
22500
27350
37060
23570
4260
30950
19400
21260
18000
28250
23570
4440
20930
19110
16100
18030
22990
19590
2610
18680
14940
15190
13560
25810
18750
3000
15150
15750
22900
25890
41750
25370
2820
24050
16750
19040
23190
26930
21310
4550
20920
18930
20520
23790
24080
15390
7160
19670
5760
14400
