dia;Real
2019-08-21;697,6693
2019-08-22;703,7653
2019-08-23;703,2030
2019-08-24;644,8687
2019-08-25;602,0038
2019-08-26;709,4790
2019-08-27;708,0855
2019-08-28;717,7752
2019-08-29;733,8090
2019-08-30;740,8580
2019-08-31;662,3513
2019-09-01;614,2657
2019-09-02;723,2283
2019-09-03;754,0263
2019-09-04;759,6105
2019-09-05;737,5630
2019-09-06;710,9925
2019-09-07;633,2753
2019-09-08;585,1992
2019-09-09;683,8360
2019-09-10;686,8075
2019-09-11;656,6152
2019-09-12;676,9420
2019-09-13;666,3368
2019-09-14;599,8107
2019-09-15;564,3010
2019-09-16;679,9657
2019-09-17;701,9515
2019-09-18;703,4793
2019-09-19;706,3392
2019-09-20;697,6585
2019-09-21;618,8865
2019-09-22;566,7917
2019-09-23;663,4578
2019-09-24;686,6143
2019-09-25;697,7888
2019-09-26;699,1370
2019-09-27;695,2660
2019-09-28;615,1562
2019-09-29;563,9955
2019-09-30;675,2353
2019-10-01;699,9492
2019-10-02;691,4005
2019-10-03;680,4345
2019-10-04;679,1537
2019-10-05;608,3552
2019-10-06;561,0942
2019-10-07;668,2752
2019-10-08;690,3142
2019-10-09;674,7118
2019-10-10;683,9738
2019-10-11;675,4010
2019-10-12;585,2190
2019-10-13;556,6865
2019-10-14;666,1918
2019-10-15;666,4925
2019-10-16;672,1888
2019-10-17;675,3937
2019-10-18;662,7047
2019-10-19;600,6912
2019-10-20;554,1607
2019-10-21;657,5770
2019-10-22;686,3402
2019-10-23;691,8043
2019-10-24;687,9578
2019-10-25;728,8745
2019-10-26;552,5503
2019-10-27;559,3990
2019-10-28;663,5590
2019-10-29;680,6172
2019-10-30;679,6588
2019-10-31;668,9133
2019-11-01;577,7598
2019-11-02;574,9627
2019-11-03;551,5478
2019-11-04;666,1945
2019-11-05;687,3870
2019-11-06;690,2310
2019-11-07;703,2793
2019-11-08;712,3997
2019-11-09;639,5388
2019-11-10;593,3677
2019-11-11;720,9928
2019-11-12;732,8848
2019-11-13;736,1330
2019-11-14;751,3773
2019-11-15;751,8267
2019-11-16;673,8237
2019-11-17;635,7470
2019-11-18;744,7707
2019-11-19;771,5128
2019-11-20;778,1937
2019-11-21;776,7170
2019-11-22;771,1855
2019-11-23;664,4242
2019-11-24;618,4107
2019-11-25;731,8793
2019-11-26;742,6120
2019-11-27;731,3315
2019-11-28;732,5853
2019-11-29;719,9188
2019-11-30;640,0942
2019-12-01;608,1413
2019-12-02;722,7993
2019-12-03;745,7240
2019-12-04;755,9382
2019-12-05;747,6240
2019-12-06;652,5418
2019-12-07;638,9118
2019-12-08;612,5473
2019-12-09;687,9602
2019-12-10;745,7132
2019-12-11;758,9300
2019-12-12;773,3353
2019-12-13;747,7133
2019-12-14;659,7872
2019-12-15;622,4992
2019-12-16;735,8335
2019-12-17;748,7117
2019-12-18;749,4422
2019-12-19;748,7008
2019-12-20;707,5728
2019-12-21;621,8833
2019-12-22;577,4083
2019-12-23;630,8225
2019-12-24;577,0083
2019-12-25;501,4673
2019-12-26;585,4005
2019-12-27;632,4195
2019-12-28;605,2402
2019-12-29;578,4902
2019-12-30;647,0293
2019-12-31;619,0020
