Fecha;Consumo
2019-01-09 01;27,29533333
2019-01-09 02;25,74883333
2019-01-09 03;25,28166667
2019-01-09 04;25,13083333
2019-01-09 05;25,71666667
2019-01-09 06;28,24966667
2019-01-09 07;33,08366667
2019-01-09 08;36,63233333
2019-01-09 09;37,71883333
2019-01-09 10;38,26233333
2019-01-09 11;37,88683333
2019-01-09 12;37,30866667
2019-01-09 13;37,0755
2019-01-09 14;35,95516667
2019-01-09 15;35,19333333
2019-01-09 16;35,02933333
2019-01-09 17;35,18283333
2019-01-09 18;37,11216667
2019-01-09 19;38,6365
2019-01-09 20;39,15183333
2019-01-09 21;38,4335
2019-01-09 22;35,41633333
2019-01-09 23;31,95633333
2019-01-10 00;29,2555
2019-01-10 01;27,113
2019-01-10 02;25,78816667
2019-01-10 03;25,20683333
2019-01-10 04;25,09016667
2019-01-10 05;25,69733333
2019-01-10 06;28,335
2019-01-10 07;33,29216667
2019-01-10 08;36,92083333
2019-01-10 09;38,02116667
2019-01-10 10;38,65716667
2019-01-10 11;38,29983333
2019-01-10 12;37,76116667
2019-01-10 13;37,61383333
2019-01-10 14;36,3505
2019-01-10 15;35,75733333
2019-01-10 16;35,5985
2019-01-10 17;35,79866667
2019-01-10 18;37,93533333
2019-01-10 19;39,55516667
2019-01-10 20;40,11666667
2019-01-10 21;39,36116667
2019-01-10 22;36,31533333
2019-01-10 23;32,77966667
2019-01-11 00;29,92666667
2019-01-11 01;27,745
2019-01-11 02;26,4075
2019-01-11 03;25,89883333
2019-01-11 04;25,69616667
2019-01-11 05;26,35616667
2019-01-11 06;29,02716667
2019-01-11 07;33,8845
2019-01-11 08;37,88166667
2019-01-11 09;39,17716667
2019-01-11 10;39,793
2019-01-11 11;39,48833333
2019-01-11 12;38,80833333
2019-01-11 13;38,32533333
2019-01-11 14;37,0355
2019-01-11 15;36,21783333
2019-01-11 16;35,8045
2019-01-11 17;35,888
2019-01-11 18;37,77483333
2019-01-11 19;39,03283333
2019-01-11 20;38,864
2019-01-11 21;38,24333333
2019-01-11 22;35,80883333
2019-01-11 23;32,94716667
2019-01-12 00;30,60533333
2019-01-12 01;28,27183333
2019-01-12 02;26,31766667
2019-01-12 03;25,32733333
2019-01-12 04;24,83283333
2019-01-12 05;24,7375
2019-01-12 06;25,348
2019-01-12 07;26,88716667
2019-01-12 08;28,95616667
2019-01-12 09;31,645
2019-01-12 10;34,08716667
2019-01-12 11;34,46116667
2019-01-12 12;33,71316667
2019-01-12 13;33,38566667
2019-01-12 14;32,81466667
2019-01-12 15;31,58716667
2019-01-12 16;30,66833333
2019-01-12 17;30,55833333
2019-01-12 18;32,73916667
2019-01-12 19;34,15433333
2019-01-12 20;34,71533333
2019-01-12 21;34,8235
2019-01-12 22;33,416
2019-01-12 23;31,1795
2019-01-13 00;28,449
2019-01-13 01;26,15416667
2019-01-13 02;24,5385
2019-01-13 03;23,612
2019-01-13 04;23,13883333
2019-01-13 05;23,0705
2019-01-13 06;23,50583333
2019-01-13 07;24,48833333
2019-01-13 08;25,33883333
2019-01-13 09;27,285
2019-01-13 10;29,876
2019-01-13 11;31,1145
2019-01-13 12;30,86816667
2019-01-13 13;30,905
2019-01-13 14;30,851
2019-01-13 15;29,4865
2019-01-13 16;28,728
2019-01-13 17;28,6195
2019-01-13 18;31,074
2019-01-13 19;33,35433333
2019-01-13 20;34,53566667
2019-01-13 21;34,70366667
2019-01-13 22;33,322
2019-01-13 23;30,73066667
2019-01-14 00;27,897
2019-01-14 01;25,57233333
2019-01-14 02;24,58933333
2019-01-14 03;24,01133333
2019-01-14 04;23,98116667
2019-01-14 05;24,66883333
2019-01-14 06;27,57
2019-01-14 07;32,74616667
2019-01-14 08;36,505
2019-01-14 09;37,96316667
2019-01-14 10;38,6055
2019-01-14 11;38,26783333
2019-01-14 12;37,55066667
2019-01-14 13;37,203
2019-01-14 14;35,94216667
2019-01-14 15;35,217
2019-01-14 16;34,87083333
2019-01-14 17;34,76483333
2019-01-14 18;36,47383333
2019-01-14 19;38,21133333
2019-01-14 20;38,76266667
2019-01-14 21;38,07716667
2019-01-14 22;35,349
2019-01-14 23;31,959
2019-01-15 00;29,15583333
2019-01-15 01;26,95266667
2019-01-15 02;25,798
2019-01-15 03;25,28416667
2019-01-15 04;25,19083333
2019-01-15 05;25,83633333
2019-01-15 06;28,32
2019-01-15 07;33,3025
2019-01-15 08;36,65783333
2019-01-15 09;37,85016667
2019-01-15 10;38,37816667
2019-01-15 11;38,1295
2019-01-15 12;37,43233333
2019-01-15 13;37,007
2019-01-15 14;35,6575
2019-01-15 15;35,15066667
2019-01-15 16;34,92816667
2019-01-15 17;34,94033333
2019-01-15 18;36,69
2019-01-15 19;38,38583333
2019-01-15 20;39,05316667
2019-01-15 21;38,23216667
2019-01-15 22;35,5075
2019-01-15 23;32,01816667
2019-01-16 00;29,33816667
2019-01-16 01;27,1855
2019-01-16 02;25,92933333
2019-01-16 03;25,28383333
2019-01-16 04;25,29966667
2019-01-16 05;25,98116667
2019-01-16 06;28,37216667
2019-01-16 07;33,31766667
2019-01-16 08;36,91133333
2019-01-16 09;37,9925
2019-01-16 10;38,46266667
2019-01-16 11;38,2785
2019-01-16 12;37,668
2019-01-16 13;37,37183333
2019-01-16 14;36,1025
2019-01-16 15;35,59916667
2019-01-16 16;35,33283333
2019-01-16 17;35,32916667
2019-01-16 18;36,8175
2019-01-16 19;38,3225
2019-01-16 20;38,75883333
2019-01-16 21;37,98683333
2019-01-16 22;35,34916667
2019-01-16 23;31,91916667
2019-01-17 00;29,28366667
2019-01-17 01;27,14416667
2019-01-17 02;25,974
2019-01-17 03;25,40383333
2019-01-17 04;25,355
2019-01-17 05;25,80616667
2019-01-17 06;28,30083333
2019-01-17 07;33,15283333
2019-01-17 08;36,45233333
2019-01-17 09;37,57266667
2019-01-17 10;38,0885
2019-01-17 11;38,08716667
2019-01-17 12;37,66416667
2019-01-17 13;37,55016667
2019-01-17 14;36,52516667
2019-01-17 15;36,05366667
2019-01-17 16;35,77116667
2019-01-17 17;35,9135
2019-01-17 18;37,3235
2019-01-17 19;38,68616667
2019-01-17 20;39,07983333
2019-01-17 21;38,35916667
2019-01-17 22;35,58516667
2019-01-17 23;32,28816667
2019-01-18 00;29,5365
2019-01-18 01;27,485
2019-01-18 02;26,07883333
2019-01-18 03;25,38
2019-01-18 04;25,3625
2019-01-18 05;25,981
2019-01-18 06;28,38333333
2019-01-18 07;33,59466667
2019-01-18 08;36,917
2019-01-18 09;38,00183333
2019-01-18 10;38,75533333
2019-01-18 11;38,71116667
2019-01-18 12;38,2035
2019-01-18 13;37,92016667
2019-01-18 14;36,625
2019-01-18 15;35,659
2019-01-18 16;35,36916667
2019-01-18 17;35,55533333
2019-01-18 18;36,90733333
2019-01-18 19;37,97933333
2019-01-18 20;37,90783333
2019-01-18 21;37,22216667
2019-01-18 22;35,02
2019-01-18 23;32,09183333
2019-01-19 00;29,71883333
2019-01-19 01;27,446
2019-01-19 02;25,86633333
2019-01-19 03;24,97116667
2019-01-19 04;24,55316667
2019-01-19 05;24,49916667
2019-01-19 06;24,94283333
2019-01-19 07;26,50216667
2019-01-19 08;28,41583333
2019-01-19 09;31,49183333
2019-01-19 10;33,93716667
2019-01-19 11;34,46516667
2019-01-19 12;34,09916667
2019-01-19 13;34,10916667
2019-01-19 14;33,52533333
2019-01-19 15;32,11316667
2019-01-19 16;31,31733333
2019-01-19 17;31,209
2019-01-19 18;32,91766667
2019-01-19 19;34,13216667
2019-01-19 20;34,46533333
2019-01-19 21;34,09166667
2019-01-19 22;32,60716667
2019-01-19 23;30,26833333
2019-01-20 00;27,93183333
2019-01-20 01;25,64533333
2019-01-20 02;23,90333333
2019-01-20 03;22,9815
2019-01-20 04;22,64316667
2019-01-20 05;22,55083333
2019-01-20 06;22,81333333
2019-01-20 07;23,5705
2019-01-20 08;24,3725
2019-01-20 09;26,508
2019-01-20 10;29,1315
2019-01-20 11;30,55233333
2019-01-20 12;30,76033333
2019-01-20 13;31,3035
2019-01-20 14;31,04366667
2019-01-20 15;29,52016667
2019-01-20 16;28,52483333
2019-01-20 17;28,16166667
2019-01-20 18;30,01816667
2019-01-20 19;32,127
2019-01-20 20;33,367
2019-01-20 21;33,6305
2019-01-20 22;32,5125
2019-01-20 23;29,75733333
2019-01-21 00;27,026
2019-01-21 01;24,91766667
2019-01-21 02;23,66783333
2019-01-21 03;23,2165
2019-01-21 04;23,31333333
2019-01-21 05;24,17383333
2019-01-21 06;27,159
2019-01-21 07;32,45066667
2019-01-21 08;36,2325
2019-01-21 09;37,55033333
2019-01-21 10;38,29516667
2019-01-21 11;38,1155
2019-01-21 12;37,7065
2019-01-21 13;37,534
2019-01-21 14;36,30983333
2019-01-21 15;35,71666667
2019-01-21 16;35,4165
2019-01-21 17;35,3975
2019-01-21 18;36,61216667
2019-01-21 19;38,40783333
2019-01-21 20;38,99283333
2019-01-21 21;38,178
2019-01-21 22;35,2825
2019-01-21 23;31,91616667
2019-01-22 00;29,39383333
2019-01-22 01;27,16683333
2019-01-22 02;25,88333333
2019-01-22 03;25,29516667
2019-01-22 04;25,31316667
2019-01-22 05;26,009
2019-01-22 06;28,5305
2019-01-22 07;33,40166667
2019-01-22 08;36,9475
2019-01-22 09;38,2195
2019-01-22 10;39,01016667
2019-01-22 11;39,17333333
2019-01-22 12;38,79633333
2019-01-22 13;38,6925
2019-01-22 14;37,75
2019-01-22 15;37,19216667
2019-01-22 16;37,13533333
2019-01-22 17;37,34783333
2019-01-22 18;38,48683333
2019-01-22 19;39,831
2019-01-22 20;40,14966667
2019-01-22 21;39,10283333
2019-01-22 22;36,02633333
2019-01-22 23;32,4575
2019-01-23 00;29,85766667
2019-01-23 01;27,72183333
2019-01-23 02;26,22833333
2019-01-23 03;25,66
2019-01-23 04;25,48183333
2019-01-23 05;26,13883333
2019-01-23 06;28,69716667
2019-01-23 07;33,55733333
2019-01-23 08;36,83966667
2019-01-23 09;38,07233333
2019-01-23 10;38,63616667
2019-01-23 11;38,74066667
2019-01-23 12;38,14183333
2019-01-23 13;37,98133333
2019-01-23 14;36,826
2019-01-23 15;36,35616667
2019-01-23 16;36,1135
2019-01-23 17;36,16566667
2019-01-23 18;37,28216667
2019-01-23 19;38,76866667
2019-01-23 20;39,20883333
2019-01-23 21;38,1745
2019-01-23 22;35,37316667
2019-01-23 23;31,90133333
2019-01-24 00;29,23966667
2019-01-24 01;27,21316667
2019-01-24 02;25,94266667
2019-01-24 03;25,3445
2019-01-24 04;25,30616667
2019-01-24 05;25,84383333
2019-01-24 06;28,37766667
2019-01-24 07;33,09216667
2019-01-24 08;36,24966667
2019-01-24 09;37,0815
2019-01-24 10;37,45583333
2019-01-24 11;37,52266667
2019-01-24 12;37,19033333
2019-01-24 13;37,14583333
2019-01-24 14;35,94033333
2019-01-24 15;35,45616667
2019-01-24 16;35,08866667
2019-01-24 17;35,0875
2019-01-24 18;36,15483333
2019-01-24 19;37,92766667
2019-01-24 20;38,327
2019-01-24 21;37,42133333
2019-01-24 22;34,7885
2019-01-24 23;31,5675
2019-01-25 00;29,3715
2019-01-25 01;27,41566667
2019-01-25 02;25,92333333
2019-01-25 03;25,49733333
2019-01-25 04;25,273
2019-01-25 05;25,80716667
2019-01-25 06;28,2255
2019-01-25 07;32,99616667
2019-01-25 08;35,86683333
2019-01-25 09;36,93333333
2019-01-25 10;37,19516667
2019-01-25 11;36,69416667
2019-01-25 12;36,10666667
2019-01-25 13;35,7705
2019-01-25 14;34,50316667
2019-01-25 15;33,59933333
2019-01-25 16;33,10483333
2019-01-25 17;32,94116667
2019-01-25 18;33,9
2019-01-25 19;35,79933333
2019-01-25 20;36,09533333
2019-01-25 21;35,5105
2019-01-25 22;33,32316667
2019-01-25 23;30,73833333
2019-01-26 00;28,821
2019-01-26 01;26,82016667
2019-01-26 02;25,1825
2019-01-26 03;24,406
2019-01-26 04;24,095
2019-01-26 05;23,84066667
2019-01-26 06;24,31233333
2019-01-26 07;25,905
2019-01-26 08;27,5275
2019-01-26 09;30,25383333
2019-01-26 10;32,09433333
2019-01-26 11;32,14716667
2019-01-26 12;31,5185
2019-01-26 13;31,22583333
2019-01-26 14;30,493
2019-01-26 15;29,05516667
2019-01-26 16;28,26733333
2019-01-26 17;27,8685
2019-01-26 18;29,16783333
2019-01-26 19;31,453
2019-01-26 20;32,18916667
2019-01-26 21;32,28116667
2019-01-26 22;31,076
2019-01-26 23;29,05366667
2019-01-27 00;26,74116667
2019-01-27 01;24,805
2019-01-27 02;23,383
2019-01-27 03;22,44216667
2019-01-27 04;22,16583333
2019-01-27 05;22,13783333
2019-01-27 06;22,4745
2019-01-27 07;23,2375
2019-01-27 08;24,02616667
2019-01-27 09;25,942
2019-01-27 10;28,16233333
2019-01-27 11;29,18366667
2019-01-27 12;29,13833333
2019-01-27 13;29,284
2019-01-27 14;29,0725
2019-01-27 15;27,659
2019-01-27 16;26,81183333
2019-01-27 17;26,66616667
2019-01-27 18;28,27516667
2019-01-27 19;30,90483333
2019-01-27 20;32,38216667
2019-01-27 21;32,57783333
2019-01-27 22;31,49483333
2019-01-27 23;28,93666667
2019-01-28 00;26,42016667
2019-01-28 01;24,5815
2019-01-28 02;23,40566667
2019-01-28 03;22,95233333
2019-01-28 04;23,00816667
2019-01-28 05;23,8775
2019-01-28 06;26,92116667
2019-01-28 07;31,99433333
2019-01-28 08;35,2285
2019-01-28 09;36,51716667
2019-01-28 10;37,1725
2019-01-28 11;37,07866667
2019-01-28 12;36,6765
2019-01-28 13;36,514
2019-01-28 14;35,39616667
2019-01-28 15;34,7435
2019-01-28 16;34,3405
2019-01-28 17;34,21866667
2019-01-28 18;35,2145
2019-01-28 19;37,167
2019-01-28 20;37,49133333
2019-01-28 21;36,76083333
2019-01-28 22;33,93433333
2019-01-28 23;30,76266667
2019-01-29 00;28,19383333
2019-01-29 01;26,355
2019-01-29 02;25,1025
2019-01-29 03;24,73283333
2019-01-29 04;24,55
2019-01-29 05;25,16816667
2019-01-29 06;27,7765
2019-01-29 07;32,487
2019-01-29 08;35,41516667
2019-01-29 09;36,44633333
2019-01-29 10;37,08533333
2019-01-29 11;37,154
2019-01-29 12;37,13733333
2019-01-29 13;37,29083333
2019-01-29 14;36,119
2019-01-29 15;35,531
2019-01-29 16;35,217
2019-01-29 17;35,22716667
2019-01-29 18;35,87033333
2019-01-29 19;37,7395
2019-01-29 20;37,9665
2019-01-29 21;37,1185
2019-01-29 22;34,40233333
2019-01-29 23;31,15933333
2019-01-30 00;28,75066667
2019-01-30 01;26,85483333
2019-01-30 02;25,48616667
2019-01-30 03;24,97316667
2019-01-30 04;24,797
2019-01-30 05;25,39
2019-01-30 06;27,7565
2019-01-30 07;32,42783333
2019-01-30 08;35,50433333
2019-01-30 09;36,5675
2019-01-30 10;37,03583333
2019-01-30 11;36,93083333
2019-01-30 12;36,56233333
2019-01-30 13;36,42416667
2019-01-30 14;35,274
2019-01-30 15;34,8275
2019-01-30 16;34,73066667
2019-01-30 17;34,96833333
2019-01-30 18;35,99016667
2019-01-30 19;37,7495
2019-01-30 20;38,19283333
2019-01-30 21;37,27833333
2019-01-30 22;34,5645
2019-01-30 23;31,43833333
2019-01-31 00;28,834
2019-01-31 01;26,756
2019-01-31 02;25,706
2019-01-31 03;25,1225
2019-01-31 04;24,89716667
2019-01-31 05;25,50283333
2019-01-31 06;28,06116667
2019-01-31 07;32,568
2019-01-31 08;35,35216667
2019-01-31 09;36,36983333
2019-01-31 10;36,80183333
2019-01-31 11;36,89366667
2019-01-31 12;36,68616667
2019-01-31 13;36,49333333
2019-01-31 14;35,30116667
2019-01-31 15;34,60533333
2019-01-31 16;34,36533333
2019-01-31 17;34,32733333
2019-01-31 18;35,235
2019-01-31 19;36,88483333
2019-01-31 20;37,27166667
2019-01-31 21;36,37983333
2019-01-31 22;33,88483333
2019-01-31 23;30,88333333
2019-02-01 00;28,74616667
2019-02-01 01;26,93516667
2019-02-01 02;25,60866667
2019-02-01 03;25,2545
2019-02-01 04;24,877
2019-02-01 05;25,275
2019-02-01 06;27,81133333
2019-02-01 07;32,08766667
2019-02-01 08;34,65683333
2019-02-01 09;35,673
2019-02-01 10;36,32966667
2019-02-01 11;36,43266667
2019-02-01 12;36,09933333
2019-02-01 13;36,06383333
2019-02-01 14;34,844
2019-02-01 15;34,08766667
2019-02-01 16;33,80683333
2019-02-01 17;33,55266667
2019-02-01 18;34,291
2019-02-01 19;36,09733333
2019-02-01 20;36,1805
2019-02-01 21;35,48683333
2019-02-01 22;33,33833333
2019-02-01 23;30,76783333
2019-02-02 00;28,91033333
2019-02-02 01;26,978
2019-02-02 02;25,318
2019-02-02 03;24,4715
2019-02-02 04;24,04366667
2019-02-02 05;24,09683333
2019-02-02 06;24,61933333
2019-02-02 07;26,07
2019-02-02 08;27,60583333
2019-02-02 09;30,42183333
2019-02-02 10;32,68016667
2019-02-02 11;33,2605
2019-02-02 12;33,0155
2019-02-02 13;32,76216667
2019-02-02 14;31,94683333
2019-02-02 15;30,5075
2019-02-02 16;29,78666667
2019-02-02 17;29,4375
2019-02-02 18;30,419
2019-02-02 19;32,71716667
2019-02-02 20;33,36166667
2019-02-02 21;33,27933333
2019-02-02 22;31,97916667
2019-02-02 23;29,98283333
2019-02-03 00;27,78066667
2019-02-03 01;25,40066667
2019-02-03 02;23,872
2019-02-03 03;22,82183333
2019-02-03 04;22,5645
2019-02-03 05;22,655
2019-02-03 06;23,07583333
2019-02-03 07;23,96866667
2019-02-03 08;24,4385
2019-02-03 09;26,74133333
2019-02-03 10;29,0225
2019-02-03 11;30,07733333
2019-02-03 12;29,8345
2019-02-03 13;29,91833333
2019-02-03 14;29,8625
2019-02-03 15;28,43216667
2019-02-03 16;27,62616667
2019-02-03 17;27,32466667
2019-02-03 18;28,58316667
2019-02-03 19;31,69283333
2019-02-03 20;33,4035
2019-02-03 21;33,51783333
2019-02-03 22;32,476
2019-02-03 23;30,11366667
2019-02-04 00;27,31883333
2019-02-04 01;25,3215
2019-02-04 02;24,1315
2019-02-04 03;23,78333333
2019-02-04 04;23,49566667
2019-02-04 05;24,36833333
2019-02-04 06;27,28833333
2019-02-04 07;32,649
2019-02-04 08;36,11316667
2019-02-04 09;37,80233333
2019-02-04 10;38,24416667
2019-02-04 11;38,08433333
2019-02-04 12;37,662
2019-02-04 13;37,109
2019-02-04 14;35,92683333
2019-02-04 15;35,34516667
2019-02-04 16;35,01566667
2019-02-04 17;34,80216667
2019-02-04 18;35,515
2019-02-04 19;37,782
2019-02-04 20;38,39083333
2019-02-04 21;37,78183333
2019-02-04 22;34,84216667
2019-02-04 23;31,55566667
2019-02-05 00;29,132
2019-02-05 01;26,99333333
2019-02-05 02;25,73283333
2019-02-05 03;25,244
2019-02-05 04;25,14016667
2019-02-05 05;25,75433333
2019-02-05 06;28,286
2019-02-05 07;32,99683333
2019-02-05 08;36,07716667
2019-02-05 09;37,16383333
2019-02-05 10;37,50916667
2019-02-05 11;37,10133333
2019-02-05 12;36,56783333
2019-02-05 13;36,20966667
2019-02-05 14;34,94033333
2019-02-05 15;34,19233333
2019-02-05 16;33,886
2019-02-05 17;33,6295
2019-02-05 18;34,30866667
2019-02-05 19;36,964
2019-02-05 20;37,72533333
2019-02-05 21;37,297
2019-02-05 22;34,44716667
2019-02-05 23;31,178
2019-02-06 00;28,7925
2019-02-06 01;26,74666667
2019-02-06 02;25,4335
2019-02-06 03;24,96866667
2019-02-06 04;24,97066667
2019-02-06 05;25,44183333
2019-02-06 06;28,038
2019-02-06 07;32,71883333
2019-02-06 08;35,6035
2019-02-06 09;36,61866667
2019-02-06 10;36,48016667
2019-02-06 11;36,088
2019-02-06 12;35,56333333
2019-02-06 13;35,28933333
2019-02-06 14;34,199
