Estadística de Producción Editorial de Libros
Series cronológicas
Número de títulos (libros y folletos) por tema (clasificación UNESCO) y año.
Unidades: Número de títulos

;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
TOTAL;40.758;44.261;48.467;46.330;48.713;55.774;59.174;62.011;62.525;66.780;72.048;60.492;63.551;66.270;72.914;86.330;74.521;76.206;74.244;69.668;56.435;56.030;61.008;59.567;60.185;62.180;
Notas:
1) TÍTULOS: Para una correcta interpretación de la serie de títulos editados, véase metodología de la estadística

 2) La categoría '9. Comercio, comunicaciones, transporte, turismo' no se  utiliza desde el año 2003    
Fuente: Instituto Nacional de Estadística
